0,0,0,0
0.05,0.12179,0.001331,0.010928
0.1,0.23888,0.003859,0.021587
0.15,0.35492,0.0076656,0.032793
0.2,0.46345,0.012383,0.043438
0.25,0.57835,0.01869,0.054831
0.3,0.69235,0.026222,0.065983
0.35,0.80516,0.034943,0.077148
0.4,0.90273,0.043626,0.088763
0.45,1.0115,0.054581,0.10041
0.5,1.1083,0.065498,0.11231
0.55,1.2065,0.077705,0.12368
0.6,1.3182,0.092961,0.13563
0.65,1.4343,0.11013,0.14695
0.7,1.5434,0.12764,0.15901
0.75,1.6501,0.14601,0.17046
0.8,1.7593,0.1661,0.18193
0.85,1.8576,0.18538,0.19376
0.9,1.9619,0.20719,0.20624
0.95,2.0639,0.22979,0.21799
1,2.1617,0.25273,0.23034
1.05,2.2503,0.27466,0.24266
1.1,2.3518,0.30111,0.25505
1.15,2.457,0.32993,0.26736
1.2,2.561,0.35985,0.27995
1.25,2.6622,0.39027,0.29198
1.3,2.7637,0.42213,0.30427
1.35,2.8629,0.45471,0.31716
1.4,2.9599,0.48787,0.32965
1.45,3.0415,0.51696,0.34236
1.5,3.1436,0.55484,0.35534
1.55,3.2264,0.58681,0.36855
1.6,3.3196,0.62427,0.38208
1.65,3.4195,0.66592,0.39496
1.7,3.4964,0.69917,0.40808
1.75,3.5892,0.74071,0.42105
1.8,3.6828,0.78408,0.4339
1.85,3.7708,0.82631,0.44733
1.9,3.8633,0.87232,0.46127
1.95,3.9372,0.91024,0.47457
2,4.031,0.96005,0.48811
2.05,4.1138,1.0055,0.50168
2.1,4.1885,1.0477,0.51482
2.15,4.2721,1.0966,0.52899
2.2,4.3541,1.1461,0.54298
2.25,4.4264,1.1911,0.55723
2.3,4.5084,1.2438,0.5711
2.35,4.5859,1.2953,0.58568
2.4,4.6491,1.3385,0.60024
2.45,4.7148,1.3849,0.61433
2.5,4.7762,1.4295,0.62891
2.55,4.8469,1.4825,0.64337
2.6,4.9236,1.5418,0.65768
2.65,5.0005,1.6029,0.67174
2.7,5.0698,1.6596,0.68624
2.75,5.1376,1.7168,0.70076
2.8,5.2093,1.7791,0.71495
2.85,5.2717,1.835,0.73048
2.9,5.3315,1.8902,0.74554
2.95,5.3878,1.9439,0.76099
3,5.4585,2.0133,0.77643
3.05,5.5274,2.083,0.79093
3.1,5.5764,2.1341,0.80663
