0,13.062,0.9224
0.05,13.055,0.87435
0.1,13.245,0.93703
0.15,12.259,0.99731
0.2,12.883,1.071
0.25,11.652,1.0323
0.3,11.648,0.94177
0.35,12.594,1.0084
0.4,13.133,0.90646
0.45,12.267,0.81354
0.5,13.164,1.001
0.55,12.478,0.99629
0.6,12.604,0.86077
0.65,12.302,0.79769
0.7,12.563,1.0047
0.75,11.235,0.85902
0.8,11.168,0.89394
0.85,11.968,0.88725
0.9,10.686,0.87742
0.95,12.07,0.92869
1,10.866,0.85136
1.05,10.561,0.85378
1.1,11.256,0.9413
1.15,10.746,0.93839
1.2,10.977,0.77394
1.25,10.39,0.86949
1.3,10.859,0.88077
1.35,11.898,0.84487
1.4,10.242,0.73435
1.45,10.124,0.757
1.5,11.321,0.8016
1.55,10.934,0.73137
1.6,10.805,0.73508
1.65,9.7707,0.73204
1.7,10.542,0.79052
1.75,9.8168,0.76343
1.8,9.6284,0.75195
1.85,10.651,0.84056
1.9,9.2416,0.74361
1.95,10.3,0.69153
2,9.7,0.63392
2.05,10.488,0.81002
2.1,8.9742,0.71426
2.15,9.2325,0.68342
2.2,8.8869,0.59688
2.25,10.483,0.65861
2.3,10.492,0.58413
2.35,9.2109,0.82276
2.4,9.6165,0.81769
2.45,9.1608,0.78786
2.5,9.6693,0.67789
2.55,9.4209,0.64321
2.6,8.4,0.63465
2.65,9.8979,0.62672
2.7,8.2937,0.57723
2.75,8.2763,0.66376
2.8,9.6236,0.6245
2.85,9.1809,0.50655
2.9,7.9734,0.71305
2.95,7.7101,0.59392
3,8.1098,0.67734
3.05,7.6944,0.47869
3.1,9.0169,0.52268
3.15,7.6784,0.44238
3.2,7.5776,0.54629
3.25,8.4883,0.62232
3.3,7.5691,0.61993
3.35,7.9777,0.44808
3.4,7.5449,0.38696
3.45,8.2321,0.52705
3.5,7.5519,0.46083
3.55,7.893,0.34782
3.6,8.1049,0.36994
3.65,6.7861,0.45526
3.7,7.3141,0.47687
3.75,7.2589,0.43352
3.8,7.3862,0.26639
3.85,7.1906,0.32019
3.9,7.3114,0.28098
3.95,6.3495,0.36293
4,5.9864,0.29154
4.05,6.4051,0.23375
4.1,7.1423,0.38447
4.15,5.9311,0.36483
4.2,5.643,0.34764
4.25,7.0892,0.33686
4.3,6.5048,0.21879
4.35,5.5788,0.30199
4.4,6.2749,0.13085
4.45,6.0185,0.2736
4.5,6.6432,0.26708
4.55,6.6351,0.1327
4.6,6.5964,0.077871
4.65,6.7126,0.021469
4.7,6.6134,0.044833
4.75,5.0207,0.10441
4.8,6.1112,0.06712
4.85,5.788,-0.062456
4.9,5.3494,0.093017
4.95,6.4135,0.13893
5,4.9376,0.0095226
5.05,5.9151,0.0033384
5.1,4.8268,-0.02958
5.15,5.3425,0.019039
5.2,4.6695,-0.13561
5.25,5.5528,-0.15661
5.3,4.7706,-0.10624
5.35,3.8607,-0.092505
5.4,5.6524,-0.24128
5.45,4.6554,-0.15413
5.5,5.564,-0.12089
5.55,4.3296,-0.13391
5.6,4.4573,-0.14405
5.65,4.6558,-0.24503
5.7,3.691,-0.30893
5.75,4.8471,-0.23779
5.8,3.9649,-0.27057
5.85,4.8147,-0.50212
5.9,4.6105,-0.55466
5.95,4.5823,-0.37399
6,5.0158,-0.53551
6.05,3.7364,-0.59005
6.1,4.0391,-0.51323
6.15,4.1991,-0.57172
6.2,3.1739,-0.75665
6.25,4.2422,-0.71738
6.3,4.5275,-0.68323
6.35,3.372,-0.76536
6.4,3.7104,-0.84809
6.45,4.5819,-0.8262
6.5,4.2186,-0.84476
6.55,4.3013,-0.96111
6.6,3.7156,-0.90868
6.65,3.6181,-1.0485
6.7,4.1275,-1.0521
6.75,4.006,-1.2042
6.8,3.8661,-1.1409
6.85,3.4516,-1.1433
6.9,4.1384,-1.2221
6.95,2.602,-1.2984
7,3.1503,-1.2226
7.05,2.4989,-1.4335
7.1,3.4828,-1.3508
7.15,3.8489,-1.4569
7.2,4.2485,-1.5714
7.25,3.2111,-1.514
7.3,3.7685,-1.5327
7.35,3.4556,-1.6122
7.4,2.5037,-1.695
7.45,4.2883,-1.7347
7.5,3.572,-1.8257
7.55,3.2821,-1.7211
7.6,4.0099,-1.7299
7.65,3.7704,-1.8946
7.7,3.5799,-1.8432
7.75,4.0786,-2.0696
7.8,4.4397,-1.9939
7.85,3.4542,-2.1064
7.9,3.044,-2.1903
7.95,3.1879,-2.1747
8,3.9099,-2.0813
8.05,3.9157,-2.3065
